name	type	tags
.htaccess	tag	.htaccess
.net	tag	.net
.net-3.5	tag	.net-3.5
.net-4.0	tag	.net-4.0
.net-4.5	tag	.net-4.5
.net-attributes	tag	.net-attributes
.net-core	tag	.net-core
.net-framework-version	tag	.net-framework-version
.net-standard	tag	.net-standard
16-bit	tag	16-bit
2048	tag	2048
2sls	tag	2sls
32-bit	tag	32-bit
32bit-64bit	tag	32bit-64bit
3d	tag	3d
64-bit	tag	64-bit
ab-test	tag	ab-test
abbreviation	tag	abbreviation
abc	tag	abc
abi	tag	abi
absolute	tag	absolute
absolute-path	tag	absolute-path
absolute-value	tag	absolute-value
abstract	tag	abstract
abstract-class	tag	abstract-class
abstract-factory	tag	abstract-factory
abstraction	tag	abstraction
academia	tag	academia
access-control	tag	access-control
access-modifiers	tag	access-modifiers
access-specifier	tag	access-specifier
access-token	tag	access-token
accessibility	tag	accessibility
accuracy	tag	accuracy
acf-pacf	tag	acf-pacf
action	tag	action
actionresult	tag	actionresult
actionscript	tag	actionscript
active-directory	tag	active-directory
activemq	tag	activemq
activerecord	tag	activerecord
adaboost	tag	adaboost
adam	tag	adam
adb	tag	adb
add	tag	add
addeventlistener	tag	addeventlistener
administrator	tag	administrator
ado.net	tag	ado.net
adt	tag	adt
aerospike	tag	aerospike
aes	tag	aes
aggregate	tag	aggregate
aggregate-functions	tag	aggregate-functions
aggregation	tag	aggregation
agreement-statistics	tag	agreement-statistics
aic	tag	aic
aix	tag	aix
ajax	tag	ajax
akka	tag	akka
algorithm	tag	algorithm
algorithms	tag	algorithms
alias	tag	alias
alignment	tag	alignment
alphanumeric	tag	alphanumeric
alter-column	tag	alter-column
alter-table	tag	alter-table
amazon-ec2	tag	amazon-ec2
amazon-s3	tag	amazon-s3
amazon-web-services	tag	amazon-web-services
amd	tag	amd
amend	tag	amend
ampersand	tag	ampersand
anaconda	tag	anaconda
analysis	tag	analysis
anchor	tag	anchor
ancova	tag	ancova
and-operator	tag	and-operator
anderson-darling	tag	anderson-darling
android	tag	android
android-3.0-honeycomb	tag	android-3.0-honeycomb
android-5.0-lollipop	tag	android-5.0-lollipop
android-5.1.1-lollipop	tag	android-5.1.1-lollipop
android-6.0-marshmallow	tag	android-6.0-marshmallow
android-7.0-nougat	tag	android-7.0-nougat
android-actionbar	tag	android-actionbar
android-actionbar-compat	tag	android-actionbar-compat
android-activity	tag	android-activity
android-alertdialog	tag	android-alertdialog
android-api-levels	tag	android-api-levels
android-assets	tag	android-assets
android-asynctask	tag	android-asynctask
android-bitmap	tag	android-bitmap
android-browser	tag	android-browser
android-build	tag	android-build
android-button	tag	android-button
android-context	tag	android-context
android-database	tag	android-database
android-debug	tag	android-debug
android-dialog	tag	android-dialog
android-dialogfragment	tag	android-dialogfragment
android-drawable	tag	android-drawable
android-edittext	tag	android-edittext
android-emulator	tag	android-emulator
android-file	tag	android-file
android-fragments	tag	android-fragments
android-fullscreen	tag	android-fullscreen
android-gradle-plugin	tag	android-gradle-plugin
android-gravity	tag	android-gravity
android-image	tag	android-image
android-imageview	tag	android-imageview
android-input-method	tag	android-input-method
android-intent	tag	android-intent
android-intentservice	tag	android-intentservice
android-internet	tag	android-internet
android-layout	tag	android-layout
android-library	tag	android-library
android-lifecycle	tag	android-lifecycle
android-manifest	tag	android-manifest
android-mnc	tag	android-mnc
android-networking	tag	android-networking
android-orientation	tag	android-orientation
android-pendingintent	tag	android-pendingintent
android-permissions	tag	android-permissions
android-recyclerview	tag	android-recyclerview
android-resources	tag	android-resources
android-scripting	tag	android-scripting
android-sdcard	tag	android-sdcard
android-sdk-1.6	tag	android-sdk-1.6
android-sdk-tools	tag	android-sdk-tools
android-service	tag	android-service
android-softkeyboard	tag	android-softkeyboard
android-source	tag	android-source
android-spinner	tag	android-spinner
android-sqlite	tag	android-sqlite
android-studio	tag	android-studio
android-studio-2.0	tag	android-studio-2.0
android-styles	tag	android-styles
android-toast	tag	android-toast
